Week,Campaign status,Campaign,Currency code,Budget,Budget type,Campaign type,Impr.,Interactions,Interaction rate,Cost,Conversions,Conv. value,Conv. value / cost,Conv. rate,Avg. session duration (seconds),Avg. CPC,Cost / conv.,Bid strategy type
7/1/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"267,372","9,282",3.47%,3441.06,147.78,88866.48,25.83,1.59%,242,0.37,23.28,Maximize Conversions
4/8/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"30,942","7,380",23.85%,830.04,133.68,76522.8,94.28,1.86%,236,0.11,6.07,Maximize Conversions
4/15/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"51,366","6,378",12.42%,878.04,109.8,42829.92,49.77,1.77%,222,0.14,7.84,Maximize Conversions
4/29/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"46,410","6,498",14.00%,778.68,133.14,63951.66,83.38,2.07%,255,0.12,5.76,Maximize Conversions
5/20/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"30,030","4,548",15.14%,834.6,55.98,49900.5,62.23,1.26%,242,0.18,14.32,Maximize Conversions
5/27/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"35,028","5,196",14.83%,789.42,81,51718.62,67.05,1.60%,243,0.15,9.52,Maximize Conversions
6/10/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"47,694","5,328",11.17%,848.28,86.52,51201.42,60.36,1.62%,244,0.16,9.81,Maximize Conversions
6/24/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"313,782","8,544",2.72%,3697.68,143.94,63847.68,17.27,1.68%,232,0.43,25.69,Maximize Conversions
5/6/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"76,230","4,956",6.50%,858.66,128.16,62461.26,73.37,2.63%,252,0.17,6.64,Maximize Conversions
5/13/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"66,474","4,032",6.07%,815.52,64.74,34088.4,42.46,1.65%,226,0.2,12.4,Maximize Conversions
6/3/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"50,550","6,144",12.15%,884.7,144.48,79166.94,90.43,2.37%,263,0.14,6.06,Maximize Conversions
4/22/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"39,840","6,306",15.83%,848.34,135.9,113648.7,136.31,2.20%,235,0.13,6.14,Maximize Conversions
6/17/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"114,066","7,188",6.30%,1611.24,205.26,135991.32,84.4,2.86%,254,0.22,7.85,Maximize Conversions
7/8/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"215,610","7,086",3.29%,2263.98,92.52,62069.52,27.42,1.31%,223,0.32,24.48,Maximize Conversions
5/6/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"107,562","36,906",34.31%,1248,0,0,0,0.00%,53,2.29,0,Maximize Conversions
6/10/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"53,394","17,934",33.59%,1287.9,0,0,0,0.00%,30,4.99,0,Maximize Conversions
4/8/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"140,082","46,680",33.32%,1822.08,0,0,0,0.00%,24,2.76,0,Maximize Conversions
6/17/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"51,528","16,500",32.02%,1283.46,0,0,0,0.00%,13,5.78,0,Maximize Conversions
7/8/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"39,186","11,352",28.97%,902.58,0,0,0,0.00%,50,4.07,0,Maximize Conversions
4/1/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,642,120,18.69%,5.7,0,0,0,0.00%, --, --,0,Maximize Conversions
4/15/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"103,152","36,114",35.01%,1271.76,0,0,0,0.00%,14,2.21,0,Maximize Conversions
5/13/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"85,428","29,424",34.44%,1217.52,0,0,0,0.00%,23,3.17,0,Maximize Conversions
5/20/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"81,972","29,658",36.18%,1228.86,0,0,0,0.00%,14,2.88,0,Maximize Conversions
6/3/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"80,346","26,718",33.25%,1299.54,0,0,0,0.00%,60,3.61,0,Maximize Conversions
4/22/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"99,570","33,804",33.95%,1239.06,0,0,0,0.00%,17,2.04,0,Maximize Conversions
4/29/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"111,852","38,382",34.31%,1262.88,0,0,0,0.00%,129,1.81,0,Maximize Conversions
5/27/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"86,622","30,228",34.90%,1217.88,0,0,0,0.00%,91,2.28,0,Maximize Conversions
6/24/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"49,122","17,082",34.77%,1241.22,0,0,0,0.00%,76,6.9,0,Maximize Conversions
7/1/2019,Enabled,Collection A - Video - Traffic,USD,180,Daily,Video,"61,686","20,082",32.56%,1249.68,0,0,0,0.00%,51,3.47,0,Maximize Conversions
4/1/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"103,669","1,709",1.65%,431.05,39.77,"6,085.20",14.12,2%,61,0.25,10.84,Maximize Conversion Value
5/13/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"84,653","1,105",1.31%,401.44,11.42,"1,544.23",3.85,1%,58,0.36,35.16,Maximize Conversion Value
5/20/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"110,158","1,322",1.20%,437.3,17.05,"2,403.69",5.5,1%,70,0.33,25.65,Maximize Conversion Value
6/10/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"58,098","1,237",2.13%,424.58,37.81,"8,780.41",20.68,3%,76,0.34,11.23,Maximize Conversion Value
4/8/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"101,560","1,557",1.53%,399.26,17.08,"3,303.15",8.27,1%,56,0.26,23.37,Maximize Conversion Value
5/6/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"95,489","1,084",1.14%,398.65,8.17,"1,989.25",4.99,1%,55,0.37,48.81,Maximize Conversion Value
5/27/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"104,230","1,415",1.36%,439.66,26.12,"4,260.32",9.69,2%,60,0.31,16.83,Maximize Conversion Value
7/1/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"103,618","1,933",1.87%,843.38,32.94,"4,054.82",4.81,2%,74,0.44,25.61,Maximize Conversion Value
7/8/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"80,605","1,339",1.66%,603.73,19.75,"5,145.89",8.52,1%,71,0.45,30.57,Maximize Conversion Value
4/22/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"111,314","1,249",1.12%,392.58,19,"4,754.84",12.11,2%,59,0.31,20.66,Maximize Conversion Value
6/17/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"84,005","1,569",1.87%,586.29,36.43,"6,154.33",10.5,2%,77,0.37,16.09,Maximize Conversion Value
4/15/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"77,680","1,459",1.88%,401.3,12.17,"1,804.89",4.5,1%,54,0.28,32.98,Maximize Conversion Value
4/29/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"95,044","1,106",1.16%,397.82,11.5,"1,435.30",3.61,1%,56,0.36,34.59,Maximize Conversion Value
6/3/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"72,875","1,454",2.00%,426.16,30.4,"4,899.11",11.5,2%,67,0.29,14.02,Maximize Conversion Value
6/24/2019,Enabled,Collection C shopping,USD,120,Daily,Shopping,"112,354","1,894",1.69%,825.38,32.32,"3,911.51",4.74,2%,72,0.44,25.54,Maximize Conversion Value
4/15/2019,Enabled,Collection C Search,USD,20,Daily,Search,0,0, --,0,0,0,0,, --, --,0,CPC (enhanced)
4/29/2019,Enabled,Collection C Search,USD,20,Daily,Search,0,0, --,0,0,0,0,, --, --,0,CPC (enhanced)
6/17/2019,Enabled,Collection C Search,USD,20,Daily,Search,"4,959",338,6.82%,347.93,5.17,613.16,1.76,2%,32,1.03,67.34,CPC (enhanced)
4/8/2019,Enabled,Collection C Search,USD,20,Daily,Search,0,0, --,0,0,0,0,, --, --,0,CPC (enhanced)
6/10/2019,Enabled,Collection C Search,USD,20,Daily,Search,"5,862",389,6.64%,430.79,1.39,169.46,0.39,0%,36,1.11,309.29,CPC (enhanced)
4/1/2019,Enabled,Collection C Search,USD,20,Daily,Search,0,0, --,0,0,0,0,, --, --,0,CPC (enhanced)
4/22/2019,Enabled,Collection C Search,USD,20,Daily,Search,0,0, --,0,0,0,0,, --, --,0,CPC (enhanced)
5/6/2019,Enabled,Collection C Search,USD,20,Daily,Search,58,2,3.45%,1.58,0,0,0,0%,0,0.79,0,CPC (enhanced)
5/27/2019,Enabled,Collection C Search,USD,20,Daily,Search,"5,800",322,5.55%,409.61,3.33,455.14,1.12,1%,21,1.27,121.39,CPC (enhanced)
6/24/2019,Enabled,Collection C Search,USD,20,Daily,Search,"2,449",155,6.33%,139.25,1.5,182,1.31,1%,47,0.9,92.83,CPC (enhanced)
7/8/2019,Enabled,Collection C Search,USD,20,Daily,Search,"1,966",103,5.24%,101.01,1,129.99,1.29,1%,20,0.98,101.01,CPC (enhanced)
5/13/2019,Enabled,Collection C Search,USD,20,Daily,Search,"4,818",245,5.09%,317.56,2,279.98,0.92,1%,43,1.3,152.17,CPC (enhanced)
